,nominees,details,imdb_urls,award_show,year,award,winner,ref_year,metabase,rating,popularity,genres,budget,gross,minute,American Cinema Editors,BAFTA,Chicago Film Critics,Critics Choice,Golden Globes,Satellite,date,tt,tomatoURL,avg_score
133,Gladiator,"Douglas Wick, David Franzoni, Branko Lustig",https://www.imdb.com//title/tt0172495/?ref_=ev_nom,Academy Awards,2001,Best Picture,1,20,67,8.5,193.0,"['Action', 'Adventure', 'Drama']",103000000.0,460583960,155,1.0,1.0,-1.0,1.0,1.0,-1.0,"March 25, 2001",tt0172495,http://www.rottentomatoes.com/m/gladiator/,0.7791666666666667
134,"Crouching Tiger, Hidden Dragon","William Kong, Li-Kong Hsu, Ang Lee",https://www.imdb.com//title/tt0190332/?ref_=ev_nom,Academy Awards,2001,Best Picture,0,20,94,7.8,999.0,"['Action', 'Adventure', 'Fantasy', 'Romance']",663205.0,213525736,120,0.0,0.0,0.0,0.0,-1.0,-1.0,"March 25, 2001",tt0190332,http://www.rottentomatoes.com/m/crouching_tiger_hidden_dragon/,0.9229166666666667
135,Erin Brockovich,"Danny DeVito, Michael Shamberg, Stacey Sher",https://www.imdb.com//title/tt0195685/?ref_=ev_nom,Academy Awards,2001,Best Picture,0,20,73,7.3,545.0,"['Biography', 'Drama']",28138465.0,256271286,131,-1.0,0.0,-1.0,0.0,0.0,-1.0,"March 25, 2001",tt0195685,http://www.rottentomatoes.com/m/erin_brockovich/,0.8536111111111111
136,Traffic,"Edward Zwick, Marshall Herskovitz, Laura Bickford",https://www.imdb.com//title/tt0181865/?ref_=ev_nom,Academy Awards,2001,Best Picture,0,20,86,7.6,906.0,"['Crime', 'Drama', 'Thriller']",184725.0,207515725,147,0.0,-1.0,0.0,0.0,0.0,-1.0,"March 25, 2001",tt0181865,http://www.rottentomatoes.com/m/1103281-traffic/,0.895
137,American Beauty,"Bruce Cohen, Dan Jinks",https://www.imdb.com//title/tt0169547/?ref_=ev_nom,Academy Awards,2000,Best Picture,1,21,84,8.3,175.0,['Drama'],15000000.0,356296601,122,0.0,1.0,1.0,1.0,1.0,-1.0,"March 26, 2000",tt0169547,http://www.rottentomatoes.com/m/american_beauty/,0.916578947368421
138,The Cider House Rules,Richard N. Gladstein,https://www.imdb.com//title/tt0124315/?ref_=ev_nom,Academy Awards,2000,Best Picture,0,21,75,7.4,596.0,"['Drama', 'Romance']",24000000.0,88545092,126,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,"March 26, 2000",tt0124315,http://www.rottentomatoes.com/m/cider_house_rules/,0.7396666666666667
139,The Green Mile,"David Valdes, Frank Darabont",https://www.imdb.com//title/tt0120689/?ref_=ev_nom,Academy Awards,2000,Best Picture,0,21,61,8.6,336.0,"['Crime', 'Drama', 'Fantasy', 'Mystery']",60000000.0,286801374,189,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,"March 26, 2000",tt0120689,http://www.rottentomatoes.com/m/green_mile/,0.7936363636363637
140,The Insider,"Michael Mann, Pieter Jan Brugge",https://www.imdb.com//title/tt0140352/?ref_=ev_nom,Academy Awards,2000,Best Picture,0,21,84,7.8,893.0,"['Biography', 'Drama', 'Thriller']",6712361.0,60289912,157,0.0,-1.0,0.0,0.0,0.0,-1.0,"March 26, 2000",tt0140352,http://www.rottentomatoes.com/m/insider/,0.8816666666666666
141,The Sixth Sense,"Frank Marshall, Kathleen Kennedy, Barry Mendel",https://www.imdb.com//title/tt0167404/?ref_=ev_nom,Academy Awards,2000,Best Picture,0,21,64,8.1,837.0,"['Drama', 'Mystery', 'Thriller']",26681262.0,672806292,107,0.0,0.0,-1.0,0.0,-1.0,-1.0,"March 26, 2000",tt0167404,http://www.rottentomatoes.com/m/sixth_sense/,0.7675
142,Shakespeare in Love,"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick, Marc Norman",https://www.imdb.com//title/tt0138097/?ref_=ev_nom,Academy Awards,1999,Best Picture,1,22,87,7.1,412.0,"['Comedy', 'Drama', 'History', 'Romance']",25000000.0,289317794,123,-1.0,1.0,0.0,0.0,-1.0,-1.0,"March 21, 1999",tt0138097,http://www.rottentomatoes.com/m/shakespeare_in_love/,
143,Elizabeth,"Alison Owen, Eric Fellner, Tim Bevan",https://www.imdb.com//title/tt0127536/?ref_=ev_nom,Academy Awards,1999,Best Picture,0,22,75,7.4,76.0,"['Biography', 'Drama', 'History']",275131.0,82150642,124,-1.0,0.0,-1.0,0.0,0.0,-1.0,"March 21, 1999",tt0127536,http://www.rottentomatoes.com/m/1084153-elizabeth/,
144,Life Is Beautiful,"Elda Ferri, Gianluigi Braschi",https://www.imdb.com//title/tt0118799/?ref_=ev_nom,Academy Awards,1999,Best Picture,0,22,59,8.6,411.0,"['Comedy', 'Drama', 'Romance', 'War']",20000000.0,230098753,116,-1.0,-1.0,0.0,0.0,-1.0,-1.0,"March 21, 1999",tt0118799,http://www.rottentomatoes.com/m/1084398-life_is_beautiful/,
145,Saving Private Ryan,"Steven Spielberg, Ian Bryce, Mark Gordon, Gary Levinsohn",https://www.imdb.com//title/tt0120815/?ref_=ev_nom,Academy Awards,1999,Best Picture,0,22,91,8.6,225.0,"['Drama', 'War']",70000000.0,482349603,169,-1.0,0.0,1.0,1.0,1.0,-1.0,"March 21, 1999",tt0120815,http://www.rottentomatoes.com/m/saving_private_ryan/,0.625
146,The Thin Red Line,"Robert Michael Geisler, John Roberdeau, Grant Hill",https://www.imdb.com//title/tt0120863/?ref_=ev_nom,Academy Awards,1999,Best Picture,0,22,78,7.6,368.0,"['Drama', 'War']",282534.0,98126565,170,-1.0,-1.0,0.0,0.0,-1.0,-1.0,"March 21, 1999",tt0120863,http://www.rottentomatoes.com/m/1084146-thin_red_line/,
147,Titanic,"James Cameron, Jon Landau",https://www.imdb.com//title/tt0120338/?ref_=ev_nom,Academy Awards,1998,Best Picture,1,23,75,7.8,101.0,"['Drama', 'Romance']",200000000.0,2194439542,194,-1.0,0.0,0.0,0.0,1.0,-1.0,"March 23, 1998",tt0120338,http://www.rottentomatoes.com/m/titanic/,0.875
148,As Good as It Gets,"James L. Brooks, Bridget Johnson, Kristi Zea",https://www.imdb.com//title/tt0119822/?ref_=ev_nom,Academy Awards,1998,Best Picture,0,23,67,7.7,58.0,"['Comedy', 'Drama', 'Romance']",12606928.0,314178011,139,-1.0,-1.0,0.0,0.0,-1.0,-1.0,"March 23, 1998",tt0119822,http://www.rottentomatoes.com/m/as_good_as_it_gets/,
149,Good Will Hunting,Lawrence Bender,https://www.imdb.com//title/tt0119217/?ref_=ev_nom,Academy Awards,1998,Best Picture,0,23,70,8.3,303.0,"['Drama', 'Romance']",10000000.0,225933435,126,-1.0,-1.0,-1.0,0.0,0.0,-1.0,"March 23, 1998",tt0119217,http://www.rottentomatoes.com/m/good_will_hunting/,
150,L.A. Confidential,"Arnon Milchan, Curtis Hanson, Michael G. Nathanson",https://www.imdb.com//title/tt0119488/?ref_=ev_nom,Academy Awards,1998,Best Picture,0,23,90,8.2,231.0,"['Crime', 'Drama', 'Mystery', 'Thriller']",35000000.0,126216940,138,-1.0,0.0,1.0,1.0,0.0,-1.0,"March 23, 1998",tt0119488,http://www.rottentomatoes.com/m/la_confidential/,
151,The Full Monty,Uberto Pasolini,https://www.imdb.com//title/tt0119164/?ref_=ev_nom,Academy Awards,1998,Best Picture,0,23,75,7.2,364.0,"['Comedy', 'Drama']",3500000.0,257938649,91,-1.0,1.0,-1.0,0.0,-1.0,-1.0,"March 23, 1998",tt0119164,http://www.rottentomatoes.com/m/full_monty/,
152,The English Patient,Saul Zaentz,https://www.imdb.com//title/tt0116209/?ref_=ev_nom,Academy Awards,1997,Best Picture,1,24,87,7.4,204.0,"['Drama', 'Romance', 'War']",27000000.0,231976425,162,-1.0,1.0,0.0,0.0,1.0,-1.0,"March 24, 1997",tt0116209,http://www.rottentomatoes.com/m/english_patient/,
153,Fargo,Ethan Coen,https://www.imdb.com//title/tt0116282/?ref_=ev_nom,Academy Awards,1997,Best Picture,0,24,85,8.1,618.0,"['Crime', 'Drama', 'Thriller']",7000000.0,60611975,98,-1.0,0.0,1.0,1.0,-1.0,-1.0,"March 24, 1997",tt0116282,http://www.rottentomatoes.com/m/fargo/,
154,Jerry Maguire,"James L. Brooks, Laurence Mark, Richard Sakai, Cameron Crowe",https://www.imdb.com//title/tt0116695/?ref_=ev_nom,Academy Awards,1997,Best Picture,0,24,77,7.3,184.0,"['Comedy', 'Drama', 'Romance', 'Sport']",17084296.0,273552592,139,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,"March 24, 1997",tt0116695,http://www.rottentomatoes.com/m/jerry_maguire/,
155,Secrets & Lies,Simon Channing Williams,https://www.imdb.com//title/tt0117589/?ref_=ev_nom,Academy Awards,1997,Best Picture,0,24,91,8.0,,"['Comedy', 'Drama']",60813.0,13417292,136,-1.0,0.0,0.0,-1.0,0.0,-1.0,"March 24, 1997",tt0117589,http://www.rottentomatoes.com/m/secrets_and_lies/,
156,Shine,Jane Scott,https://www.imdb.com//title/tt0117631/?ref_=ev_nom,Academy Awards,1997,Best Picture,0,24,87,7.7,,"['Biography', 'Drama', 'Music', 'Romance']",5500000.0,35994719,105,-1.0,0.0,-1.0,0.0,0.0,-1.0,"March 24, 1997",tt0117631,http://www.rottentomatoes.com/m/shine/,
157,Braveheart,"Mel Gibson, Alan Ladd Jr., Bruce Davey",https://www.imdb.com//title/tt0112573/?ref_=ev_nom,Academy Awards,1996,Best Picture,1,25,68,8.3,501.0,"['Biography', 'Drama', 'History', 'War']",72000000.0,213216216,178,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,"March 25, 1996",tt0112573,http://www.rottentomatoes.com/m/1065684-braveheart/,
158,Apollo 13,Brian Grazer,https://www.imdb.com//title/tt0112384/?ref_=ev_nom,Academy Awards,1996,Best Picture,0,25,77,7.6,488.0,"['Adventure', 'Drama', 'History']",25353380.0,355237933,140,-1.0,-1.0,1.0,0.0,0.0,-1.0,"March 25, 1996",tt0112384,http://www.rottentomatoes.com/m/apollo_13/,
159,Babe,"George Miller, Doug Mitchell, Bill Miller",https://www.imdb.com//title/tt0112431/?ref_=ev_nom,Academy Awards,1996,Best Picture,0,25,83,6.7,470.0,"['Comedy', 'Drama', 'Family']",30000000.0,254134910,91,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,"March 25, 1996",tt0112431,http://www.rottentomatoes.com/m/1065598-babe/,
160,Sense and Sensibility,Lindsay Doran,https://www.imdb.com//title/tt0114388/?ref_=ev_nom,Academy Awards,1996,Best Picture,0,25,84,7.6,66.0,"['Drama', 'Romance']",721341.0,134582776,136,-1.0,1.0,-1.0,1.0,1.0,-1.0,"March 25, 1996",tt0114388,http://www.rottentomatoes.com/m/1068832-sense_and_sensibility/,
